outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_coefs_frailty_cmb_ffs,0,2160,274,0.5110479400600566,0.054718335143837574,1.6670372350136078,1.497507372025967,1.855759240211357,9.668910693424866e-21,0.6243577451631143,,,,,,1.67 (1.5; 1.86),nan (nan; nan),0.62
died,aa_Gaddmet,7,2136,268,0.014548624902916087,0.06943033022376192,1.014654971251373,0.8855624299407725,1.162565930844628,0.8340245374118503,0.6619582015396392,0.385834494739929,1.470841218710571,1.3041462919987585,1.6588429564465281,3.239267784829974e-10,1.01 (0.89; 1.16),1.47 (1.3; 1.66),0.66
died,aa_Gaddmet,8,2125,265,2.224914313888848e-05,0.07050295359880869,1.000022249390653,0.870958455523636,1.1482114823434333,0.9997482056197535,0.6769528937138907,0.34743241872024383,1.4154286509026857,1.252460510633288,1.599601942565988,2.5932941662905665e-08,1.0 (0.87; 1.15),1.42 (1.25; 1.6),0.68
died,aa_Gaddmet,9,2075,256,-0.002771183337385413,0.07150860162855276,0.9972326528467512,0.8668186729850823,1.1472675830564203,0.9690872001747706,0.6815172207316652,0.30977709397694714,1.3631212323320563,1.1988590253418387,1.5498898992770656,2.2635482326484694e-06,1.0 (0.87; 1.15),1.36 (1.2; 1.55),0.68
CVD_inc,aa_Gaddmet,0,2063,191,0.07314943327448961,0.07488186747969534,1.0758912988625962,0.9290280655952028,1.2459710635616144,0.3286362702849191,0.5086627673843005,,,,,,1.08 (0.93; 1.25),nan (nan; nan),0.51
CVD_inc,aa_Gaddmet,1,2063,191,0.12215203298227667,0.07411412280850835,1.129925874722897,0.977155989007711,1.3065800104902485,0.09931956490231961,0.6100948087922825,,,,,,1.13 (0.98; 1.31),nan (nan; nan),0.61
CVD_inc,aa_Gaddmet,2,2041,191,0.12082638497633462,0.07420881831546072,1.1284289831350953,0.9756803794664202,1.3050912950362656,0.10348366451546423,0.6184292129277744,,,,,,1.13 (0.98; 1.31),nan (nan; nan),0.62
CVD_inc,aa_Gaddmet,3,2030,190,0.0755689196571885,0.07608455450882404,1.0784975548384803,0.9290859115828183,1.2519369428506262,0.3206013550645442,0.648424864553912,,,,,,1.08 (0.93; 1.25),nan (nan; nan),0.65
CVD_inc,aa_Gaddmet,4,1982,189,0.07378555601285261,0.07620896638336525,1.0765759155088315,0.927204370422231,1.250011042685104,0.33294426716697595,0.658637584800634,,,,,,1.08 (0.93; 1.25),nan (nan; nan),0.66
CVD_inc,aa_Gaddmet,5,2063,191,0.03930600177541934,0.08167522009282906,1.0400887039496887,0.8862337933829642,1.2206536471085305,0.6303405503736772,0.5453049598318608,0.16984573021608645,1.185122008700989,1.0186528090812108,1.3787957614079422,0.027858937282625222,1.04 (0.89; 1.22),1.19 (1.02; 1.38),0.55
CVD_inc,aa_Gaddmet,6,2063,191,0.008349425079295555,0.08146633462770765,1.008384378742145,0.8595711673250175,1.1829608692617986,0.9183683301411955,0.6338315749690039,0.2556066803989033,1.2912447561762095,1.1115597896408382,1.4999760119887862,0.0008276510666736333,1.01 (0.86; 1.18),1.29 (1.11; 1.5),0.63
CVD_inc,aa_Gaddmet,7,2041,191,0.013708732132570525,0.08146148866062271,1.0138031276553383,0.8641984476519287,1.1893064427925353,0.8663592137372401,0.6394547989536169,0.2420409428369989,1.2738463466318568,1.0962313007354478,1.4802391737388725,0.0015821222510429877,1.01 (0.86; 1.19),1.27 (1.1; 1.48),0.64
CVD_inc,aa_Gaddmet,8,2030,190,-0.010224791719054225,0.08242951398563668,0.989827303757477,0.8421613378943569,1.1633852650057181,0.9012813487912432,0.6582231925196981,0.20819825372474213,1.2314572863434146,1.0555705252833143,1.4366515659209627,0.00810322413572697,0.99 (0.84; 1.16),1.23 (1.06; 1.44),0.66
CVD_inc,aa_Gaddmet,9,1982,189,-0.01183891474345845,0.08247304176099053,0.9882308894674363,0.8407313541132017,1.1616080286760713,0.8858566914334451,0.6693258470399506,0.21465845094284616,1.2394384956144344,1.0595148307983118,1.4499162633273261,0.007310228631566953,0.99 (0.84; 1.16),1.24 (1.06; 1.45),0.67
